client_id,value
1,"Avocado,Banana,Cereals"
2,"Avocado,Chinese,Indian,Rice,Cereals"
3,"Burger,Rice,Orange,Indian"
4,"Pizza,Eggs,Burger,Noodles,Orange"
5,"Pizza,Eggs,Burger,Noodles,Orange"
6,"Pizza,Eggs,Burger,Noodles,Orange"
7,"Avocado,Chinese,Indian,Rice,Cereals"
8,"Burger,Rice,Orange,Indian"
9,"Burger,Rice,Orange,Indian"
10,"Burger,Rice,Orange,Indian"
11,"Burger,Rice,Orange,Indian"
12,"Avocado,Banana,Cereals"
13,"Avocado,Chinese,Indian,Rice,Cereals"
14,"Pizza,Eggs,Burger,Noodles,Orange"
15,"Pizza,Eggs,Burger,Noodles,Orange"
16,"Burger,Rice,Orange,Indian"
17,"Avocado,Banana,Cereals"
18,"Avocado,Banana,Cereals"
19,"Avocado,Chinese,Indian,Rice,Cereals"
20,"Avocado,Banana,Cereals"
21,"Avocado,Banana,Cereals"
22,"Avocado,Banana,Cereals"
23,"Burger,Rice,Orange,Indian"
24,"Apple,Banana,Chinese,Cereals,Noodles,Pork Chop,Salad,Sushi"
25,"Apple,Cereals,Pork Chop,Sushi"
26,"Avocado,Banana,Cereals"
27,"Avocado,Chinese,Indian,Rice,Cereals"
28,"Burger,Rice,Orange,Indian"
29,"Apple,Banana,Chinese,Cereals,Noodles,Pork Chop,Salad,Sushi"
30,"Avocado,Chinese,Indian,Rice,Cereals"
31,"Avocado,Banana,Cereals"
32,"Apple,Banana,Chinese,Cereals,Noodles,Pork Chop,Salad,Sushi"
33,"Pizza,Eggs,Burger,Noodles,Orange"
34,"Apple,Banana,Chinese,Cereals,Noodles,Pork Chop,Salad,Sushi"
35,"Burger,Rice,Orange,Indian"
36,"Apple,Cereals,Pork Chop,Sushi"
37,"Avocado,Chinese,Indian,Rice,Cereals"
38,"Apple,Banana,Chinese,Cereals,Noodles,Pork Chop,Salad,Sushi"
39,"Burger,Rice,Orange,Indian"
40,"Avocado,Chinese,Indian,Rice,Cereals"
41,"Avocado,Banana,Cereals"
42,"Avocado,Banana,Cereals"
43,"Apple,Cereals,Pork Chop,Sushi"
44,"Avocado,Banana,Cereals"
45,"Apple,Cereals,Pork Chop,Sushi"
46,"Apple,Banana,Chinese,Cereals,Noodles,Pork Chop,Salad,Sushi"
47,"Avocado,Banana,Cereals"
48,"Apple,Cereals,Pork Chop,Sushi"
49,"Apple,Banana,Chinese,Cereals,Noodles,Pork Chop,Salad,Sushi"
50,"Avocado,Chinese,Indian,Rice,Cereals"
